Country,Origin,Total Deaths,Total Damages ('000 US$)
Japan,NA,1379,NA
Mali,NA,NA,NA
Mauritania,NA,NA,NA
Niger (the),NA,85000,NA
Senegal,NA,NA,NA
Chad,NA,NA,NA
United States of America (the),NA,30,NA
Philippines (the),NA,1335,NA
Taiwan (Province of China),NA,1000,20000
Turkey,NA,923,NA
Jamaica,NA,142,NA
Japan,NA,1000,20000
Philippines (the),NA,NA,10000
Niger (the),NA,NA,NA
Peru,NA,150,NA
Romania,NA,NA,NA
United States of America (the),NA,732,200000
Japan,NA,94,NA
Japan,NA,140,20000
Tokelau,NA,NA,NA
Italy,NA,29980,60000
United States of America (the),NA,6,1000
United States of America (the),NA,525,60000
Jamaica,NA,57,NA
Japan,NA,4000,50000
Soviet Union,NA,2500000,NA
Philippines (the),NA,100,NA
Puerto Rico,NA,116,29000
New Zealand,NA,6700,NA
United States of America (the),NA,34,NA
United States of America (the),NA,1000,100000
United States of America (the),NA,500,25000
Italy,NA,1400,NA
United States of America (the),NA,224,NA
Soviet Union,NA,1200000,NA
Italy,NA,100,NA
Japan,NA,143000,600000
Iran (Islamic Republic of),NA,2200,NA
Jamaica,NA,4,NA
Japan,NA,200,NA
Japan,NA,3000,10000
Myanmar,NA,6,NA
Niger (the),NA,100000,NA
Soviet Union,NA,23,NA
Soviet Union,NA,NA,NA
Taiwan (Province of China),NA,1000,NA
Tokelau,NA,NA,NA
United States of America (the),NA,739,18000
United States of America (the),NA,13,8000
Japan,NA,144,NA
Myanmar,NA,2700,NA
Pakistan,NA,NA,NA
Romania,NA,1000,NA
United States of America (the),NA,25,NA
United States of America (the),NA,243,73000
Jordan,NA,268,NA
Japan,NA,3022,40000
United States of America (the),NA,87,22000
India,NA,36,NA
Saint Kitts and Nevis,NA,NA,NA
Montserrat,NA,NA,NA
Poland,NA,82,NA
Puerto Rico,NA,300,50000
Romania,NA,6,NA
Romania,NA,NA,NA
Turkey,NA,50,NA
United States of America (the),NA,1836,25000
New Zealand,NA,17,NA
Iran (Islamic Republic of),NA,3253,NA
Mexico,NA,60,NA
Myanmar,NA,500,NA
Iran (Islamic Republic of),NA,1360,NA
Italy,NA,1883,5000
Japan,NA,259,NA
Myanmar,NA,36,NA
Niger (the),NA,NA,NA
Nicaragua,NA,1000,15000
New Zealand,NA,256,25000
Philippines (the),NA,NA,NA
Solomon Islands,Earthquake,50,NA
Jamaica,NA,16,NA
Philippines (the),NA,147,NA
Puerto Rico,NA,225,30000
United States of America (the),NA,332,NA
United States of America (the),NA,40,NA
United States of America (the),NA,116,38500
Jamaica,NA,53,NA
Jamaica,NA,10,NA
Japan,Earthquake,3000,NA
Trinidad and Tobago,NA,13,3000
United States of America (the),NA,40,NA
Japan,NA,3006,50000
Philippines (the),NA,NA,NA
Philippines (the),NA,85,NA
Romania,NA,NA,NA
El Salvador,NA,2000,NA
Pakistan,NA,60000,NA
India,NA,100,NA
Jamaica,NA,NA,2000
Taiwan (Province of China),NA,3276,NA
Taiwan (Province of China),NA,2746,NA
Uganda,NA,2000,NA
United States of America (the),NA,408,6000
Korea (the Republic of),NA,1104,NA
Myanmar,NA,1000,NA
Norway,NA,73,NA
Philippines (the),NA,517,NA
United States of America (the),NA,455,21000
